#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F560W  F770W  F1000W F1130W F1280W F1500W F1800W F2100W F2550W   Mact
 1   9.33 -0.31  0.15822 -2.484 3.519  5.144 10.90  0.040 0.77 21.446 18.357 18.339 18.219 18.224 18.183 18.151 18.118 18.109 17.869  0.158 
 1   9.33 -0.29  0.05348 -4.630 3.124  5.237 11.20  0.040 0.00 27.545 22.060 21.916 21.972 21.754 21.572 21.545 21.575 21.466 20.969  0.053 
 1   9.33 -0.17  0.42521 -1.534 3.591  4.910 13.00  0.040 0.00 21.605 18.982 18.988 18.923 18.910 18.895 18.876 18.849 18.831 18.760  0.425 
 1   9.33 -0.15  1.03818  0.042 3.774  4.456  9.40  0.040 0.00 14.064 12.677 12.664 12.660 12.659 12.661 12.659 12.655 12.653 12.653  1.038 
 1   9.33 -0.09  0.10857 -2.943 3.467  5.230 11.10  0.040 0.00 23.227 19.966 19.938 19.747 19.743 19.704 19.682 19.604 19.632 19.197  0.109 
 1   9.33 -0.07  0.05422 -4.609 3.129  5.244  9.90  0.040 0.00 26.193 20.736 20.588 20.644 20.429 20.248 20.222 20.255 20.152 19.678  0.054 
 1   9.33 -0.07  0.39033 -1.642 3.579  4.935 10.10  0.040 0.00 18.974 16.270 16.273 16.201 16.191 16.172 16.153 16.119 16.096 15.912  0.390 
 1   9.33  0.01  0.01162 -4.420 3.088  4.220  8.40  0.039 0.74 24.220 18.488 18.320 18.490 18.266 18.070 18.026 18.056 18.012 17.804  0.012 
 1   9.33  0.11  0.19393 -2.287 3.530  5.078 13.60  0.040 0.00 24.088 21.107 21.104 21.000 21.004 20.974 20.961 20.896 20.874 20.302  0.194 
 1   9.33  0.17  0.35088 -1.776 3.562  4.955  7.50  0.036 0.72 16.254 13.400 13.400 13.320 13.323 13.296 13.283 13.231 13.203 12.720  0.351 
 1   9.33  0.21  0.08923 -3.280 3.414  5.272  8.30  0.038 0.84 20.964 17.326 17.231 16.958 16.914 16.902 16.847 16.742 16.802 16.308  0.089 
 1   9.33  0.25  0.04214 -4.761 3.080  5.090  9.40  0.040 0.00 26.072 20.393 20.286 20.303 20.059 19.851 19.808 19.856 19.817 19.645  0.042 
 1   9.33  0.27  1.18875  0.285 3.783  4.307  9.20  0.040 0.00 13.257 11.937 11.921 11.919 11.919 11.921 11.920 11.918 11.917 11.918  1.189 
 1   9.33  0.33  0.30895 -1.894 3.553  4.980  9.80  0.040 0.00 19.304 16.433 16.432 16.354 16.360 16.332 16.321 16.266 16.236 15.692  0.309 
 1   9.35 -0.39  0.06064 -4.439 3.174  5.301  7.80  0.037 0.75 23.243 17.856 17.720 17.744 17.529 17.359 17.328 17.362 17.280 16.834  0.061 
 1   9.35 -0.25  0.10828 -2.932 3.473  5.243  9.10  0.039 0.00 21.200 17.961 17.932 17.757 17.757 17.711 17.676 17.629 17.641 17.353  0.108 
 1   9.35 -0.23  0.27243 -1.939 3.569  5.034  8.80  0.039 0.97 17.698 14.928 14.928 14.855 14.850 14.827 14.806 14.773 14.752 14.553  0.272 
 1   9.35 -0.13  0.16883 -2.432 3.520  5.125 10.50  0.040 1.00 20.599 17.568 17.559 17.449 17.453 17.419 17.399 17.345 17.331 16.900  0.169 
 1   9.35 -0.05  0.58463 -1.153 3.620  4.782 13.00  0.040 0.96 19.970 17.499 17.484 17.444 17.433 17.427 17.415 17.398 17.388 17.381  0.585 
 1   9.35 -0.01  0.24031 -2.080 3.550  5.044  7.50  0.036 0.70 17.085 14.142 14.139 14.044 14.051 14.021 14.009 13.948 13.925 13.357  0.240 
 1   9.35 -0.01  0.02975 -5.111 2.981  4.891 13.20  0.040 0.00 30.747 24.733 24.711 24.600 24.259 24.011 23.940 23.965 23.778 23.184  0.030 
 1   9.35  0.01  0.50119 -1.380 3.596  4.849  6.60  0.031 0.00 14.820 12.229 12.231 12.174 12.159 12.147 12.129 12.104 12.088 12.042  0.501 
 1   9.35  0.01  0.01790 -4.407 3.097  4.307 10.00  0.040 0.75 25.479 19.716 19.585 19.680 19.433 19.232 19.185 19.201 19.083 18.614  0.013 
 1   9.35  0.01  0.04472 -4.760 3.084  5.129 11.30  0.040 0.00 27.971 22.307 22.199 22.215 21.973 21.769 21.728 21.772 21.720 21.492  0.045 
 1   9.35  0.03  0.38826 -1.656 3.574  4.925  8.50  0.039 0.00 17.410 14.665 14.668 14.593 14.585 14.565 14.547 14.508 14.481 14.216  0.388 
 1   9.35  0.03  0.01371 -4.433 3.093  4.325  9.50  0.040 0.00 25.351 19.652 19.487 19.646 19.424 19.230 19.189 19.216 19.154 18.869  0.014 
 1   9.35  0.07  0.99236 -0.116 3.748  4.490 10.50  0.040 0.00 15.560 13.989 13.962 13.959 13.958 13.959 13.959 13.955 13.953 13.954  0.992 
 1   9.35  0.13  0.08347 -3.431 3.391  5.301  8.60  0.039 0.00 21.947 18.360 18.268 17.975 17.936 17.922 17.869 17.758 17.834 17.350  0.083 
 1   9.35  0.15  0.02205 -5.134 2.960  4.702 10.00  0.040 0.00 27.605 21.517 21.508 21.408 21.053 20.778 20.695 20.736 20.622 20.264  0.022 
 1   9.35  0.17  0.30338 -1.905 3.553  4.984 11.00  0.040 0.00 20.532 17.663 17.662 17.584 17.590 17.562 17.551 17.496 17.466 16.924  0.303 
 1   9.35  0.19  0.72042 -0.837 3.648  4.668  8.30  0.038 0.00 15.162 12.885 12.842 12.830 12.823 12.822 12.817 12.809 12.804 12.801  0.720 
 1   9.35  0.19  0.27533 -1.992 3.547  5.003 10.30  0.040 0.86 19.445 16.524 16.523 16.435 16.442 16.412 16.401 16.341 16.313 15.731  0.275 
 1   9.35  0.19  0.28512 -1.963 3.549  4.996 13.50  0.040 0.00 23.176 20.280 20.279 20.198 20.206 20.176 20.166 20.108 20.078 19.493  0.285 
 1   9.35  0.21  0.19999 -2.254 3.531  5.061 11.10  0.040 0.00 21.505 18.527 18.525 18.422 18.426 18.396 18.383 18.319 18.296 17.723  0.200 
 1   9.35  0.35  0.07585 -3.721 3.335  5.326 11.20  0.040 0.00 25.272 21.308 21.167 20.892 20.823 20.829 20.748 20.652 20.694 20.189  0.076 
 1   9.35  0.45  0.06297 -4.337 3.198  5.313  8.60  0.039 0.00 24.213 19.134 18.973 18.961 18.778 18.668 18.632 18.644 18.557 17.976  0.063 
