# RA DEC F1500W_MAG_KRON F1500W_MAG_CIRC3 F1500W_MAG_CIRC4 F1500W_MAG_CIRC5 F2100W_MAG_KRON F2100W_MAG_CIRC3 F2100W_MAG_CIRC4 F2100W_MAG_CIRC5
53.11337 -27.86405 17.38248 17.45231 17.45096 17.41827 15.79274 15.82192 15.86045 15.80619
53.13536 -27.86378 18.49584 18.50965 18.49474 18.48555 17.97297 18.67673 18.97262 18.94682
53.10707 -27.86378   nan   nan   nan   nan   nan 20.09644 18.45152 17.96356
53.14032 -27.86352 18.08697 18.62094 18.45366 18.25711 16.47637 16.48990 16.69689 16.58613
53.13703 -27.86344 13.67018 14.29293 14.25201 14.17991 13.49148 14.05710 14.05510 14.00994
53.13095 -27.86347 19.74773 19.57836 19.22624 19.09942   nan   nan   nan   nan
53.08616 -27.86340 15.29799 15.30559 15.31148 15.29074 13.22129 13.24115 13.24010 13.20957
53.10848 -27.86331 15.02967 15.86201 15.79551 15.69690 14.35495 14.98898 15.00012 14.98647
53.11580 -27.86322 19.25313 19.41352 19.45436 19.34203 16.97282 17.21751 17.03474 17.05255
53.12365 -27.86323 17.06976 17.27625 17.24671 17.19684 16.09345 16.36117 16.33081 16.23783
53.12397 -27.86314 16.31437 16.81474 16.76411 16.71533 15.34230 15.77267 15.69370 15.63632
53.14367 -27.86279 14.92336 15.42683 15.37725 15.28433 14.84728 15.25178 15.23920 15.15245
53.11179 -27.86283 19.04171 18.44806 18.61217 18.82141 17.68700 17.00312 17.30696 17.53520
53.12389 -27.86275 14.81694 14.93746 14.94709 14.92862 13.54756 13.60840 13.62976 13.62351
53.12182 -27.86265 13.81087 14.10796 14.08856 14.04147 13.63358 13.81913 13.80582 13.77653
53.11617 -27.86240 18.64604 18.71610 18.71441 18.71970 16.06490 16.15581 16.10438 16.06524
53.10191 -27.86232 20.28311 20.31892 19.74821 19.57836 18.15558 18.01329 17.93085 17.93321
53.08682 -27.86235 17.39145 17.60923 17.64761 17.67377 16.85103 17.65936 17.60143 17.53696
53.08538 -27.86227 15.15889 15.55770 15.51989 15.45506 13.89498 14.15878 14.14625 14.09703
53.13365 -27.86225 19.07584 18.88553 19.13154 19.24996 17.39043 17.27094 17.42809 17.42798
53.09748 -27.86181 15.45041 15.77033 15.74629 15.68591 15.01307 15.27327 15.24636 15.19340
53.08633 -27.86179 12.01700 13.53015 13.45068 13.33274 10.79449 11.96992 11.94484 11.88053
53.14404 -27.86169 19.49417 19.78290 19.80920 19.86542 17.26350 17.42081 17.18948 17.11076
53.13457 -27.86144 18.08313 18.46947 18.44013 18.34042 16.52336 16.91478 16.82035 16.63454
53.13546 -27.86141 14.10530 14.36390 14.35480 14.31844 13.76426 13.96518 13.98155 13.96295
53.11619 -27.86128 15.52611 16.14886 16.11937 16.05966 14.61078 15.48437 15.45205 15.39713
53.12681 -27.86129 13.91564 14.56551 14.52188 14.44421 13.12194 13.58332 13.57631 13.53129
53.11924 -27.86122 16.52609 17.37375 17.32993 17.24839 14.30241 14.94310 14.92202 14.86220
53.10368 -27.86112 17.71762 17.79152 17.83389 17.86236 20.72289 17.34568 17.40928 17.88195
53.09143 -27.86111 19.43375 19.96480 20.61406 20.79418   nan   nan 20.52370 18.53256
53.11167 -27.86083 18.55195 18.67653 18.63966 18.58800 16.49450 16.23532 16.35735 16.53555
53.13491 -27.86078 19.32569 19.27775 19.38305 19.55158 17.49543 17.47816 17.64571 17.75171
53.10265 -27.86068 15.95495 16.12611 16.11074 16.07573 14.39789 14.47559 14.46551 14.42899
53.12362 -27.86052 23.51450   nan 21.22202 20.32185   nan   nan   nan 18.58795
53.08334 -27.86051 19.53967 20.28651 19.57764 19.53831 15.90367 16.35784 16.31691 16.29311
53.13100 -27.86047 14.68449 15.39771 15.35216 15.27487 13.39401 13.88751 13.87838 13.84213
53.10394 -27.86050 18.34669 18.36071 18.35116 18.32940 15.41177 15.53608 15.46073 15.42347
53.12477 -27.86043 17.04323 17.44647 17.45301 17.39543 17.30006 18.27355 17.75001 17.20508
53.08391 -27.86044 16.16409 16.61030 16.56991 16.50867 13.27055 13.62397 13.61754 13.57569
53.10140 -27.86036 19.49588 19.62001 19.61839 19.60005 17.69160 17.37197 17.50883 17.69749
53.13261 -27.86009 19.60763 19.61843 20.13479 20.35934 19.10103 20.06581 21.37788 19.37952
53.08213 -27.85987 17.42775 17.65973 17.64197 17.58316 15.85635 15.78582 15.82041 15.82191
53.10466 -27.85980 17.89181 17.96993 17.87928 17.77854 17.98910 18.40725 17.90107 17.33401
53.12876 -27.85978 17.07575 17.45474 17.41145 17.35256 15.25290 15.34640 15.35429 15.34357
53.10006 -27.85970 21.79479   nan   nan 22.28765 16.74778 16.92383 17.08129 17.11045
53.10065 -27.85954 16.98172 17.19345 17.17861 17.09351 15.76310 15.80480 15.84244 15.83438
53.12249 -27.85955 17.00810 16.98441 17.00072 17.00848 15.55426 15.51959 15.54209 15.51970
53.12844 -27.85945 15.23139 15.93593 15.86977 15.77848 13.17794 13.67137 13.66564 13.62567
53.10690 -27.85942 17.10428 17.36297 17.35544 17.32560 15.97326 15.93982 15.95916 16.02183
53.08228 -27.85938 18.83947 19.01151 19.25523 19.42372 17.98775 19.00320 18.82106 18.14389
53.08979 -27.85932 16.11081 16.59266 16.57330 16.52067 15.56334 15.99951 15.95078 15.81032
53.11532 -27.85921 17.47050 17.47326 17.48798 17.47235 16.29384 16.21189 16.11179 16.03119
53.10343 -27.85917 18.94004 18.97382 19.01149 18.94686 18.14003 17.04926 17.17203 17.48090
53.13062 -27.85908 16.88242 17.46854 17.39692 17.30896 17.31494 17.09064 17.21284 17.34939
53.08603 -27.85905 19.81532 19.48388 19.76489 20.14829 19.14072 17.09249 17.91788   nan
53.11252 -27.85900 18.39318 18.36027 18.43337 18.43576   nan   nan   nan   nan
53.12877 -27.85896 17.17750 17.12203 17.12465 17.11330 17.11099 17.16394 17.21355 17.13810
53.13209 -27.85889 17.79053 17.91449 17.84830 17.76300 16.38332 16.02773 16.07137 16.12615
53.12556 -27.85884 14.87552 15.78338 15.72761 15.62753 13.52596 14.21171 14.18735 14.13483
53.11374 -27.85887 16.65835 17.30577 17.26612 17.15836 15.59896 16.01471 16.04735 16.01809
53.13647 -27.85885 19.24042 19.13772 19.17841 19.28559 19.85071   nan   nan   nan
53.13901 -27.85883 18.28949 18.21314 18.25866 18.26583 17.98562 17.47657 17.31973 17.43822
53.09178 -27.85882 19.48461 19.65062 19.48078 19.44819 17.09495 16.72679 16.89124 17.08853
53.13465 -27.85868   nan   nan   nan   nan 18.65490 18.94890 18.40289 18.45932
53.09764 -27.85854 17.12665 17.02399 17.02876 17.05166 16.80444 16.48071 16.52499 16.72470
53.11016 -27.85842 18.28167 18.46059 18.37999 18.24763 19.50788   nan 19.88810 18.90701
53.12219 -27.85833 17.02743 17.10215 17.12563 17.11657 15.82637 15.74602 15.78794 15.80102
